estou bem. como sobre você?;Eu estou muito bem. obrigado por perguntar.
Eu estou muito bem. obrigado por perguntar.;sem problemas. então, como tem passado?
sem problemas. então, como tem passado?;eu tenho sido ótimo. e você?
eu tenho sido ótimo. e você?;eu tenho sido bom. estou na escola agora.
eu tenho sido bom. estou na escola agora.;Que escola você freqüenta?
Que escola você freqüenta?;eu vou ao pc.
eu vou ao pc.;você gosta de lá?
você gosta de lá?;está bem. é um campus muito grande.
está bem. é um campus muito grande.;boa sorte com a escola.
boa sorte com a escola.;Muito obrigado.
como tá indo?;estou indo bem. e você?
estou indo bem. e você?;nunca melhor, obrigado.
nunca melhor, obrigado.;então como você tem estado ultimamente?
então como você tem estado ultimamente?;eu realmente tenho sido muito bom. vocês?
eu realmente tenho sido muito bom. vocês?;na verdade estou na escola agora.
na verdade estou na escola agora.;qual escola você frequenta?
qual escola você frequenta?;estou atendendo pcc agora.
estou atendendo pcc agora.;você está gostando de lá?
você está gostando de lá?;não é ruim. tem muita gente lá.
não é ruim. tem muita gente lá.;boa sorte com isso.
boa sorte com isso.;obrigado.
como você está hoje?;Estou ótimo. e você?
Estou ótimo. e você?;eu sou absolutamente adorável, obrigado.
eu sou absolutamente adorável, obrigado.;está tudo bem com você?
está tudo bem com você?;eu não estive melhor. como sobre você?
eu não estive melhor. como sobre você?;eu comecei a escola recentemente.
eu comecei a escola recentemente.;onde você vai para a escola?
onde você vai para a escola?;eu vou ao pc.
eu vou ao pc.;como você gosta até agora?
como você gosta até agora?;eu gosto até agora. minhas aulas estão muito boas agora.
eu gosto até agora. minhas aulas estão muito boas agora.;eu te desejo sorte.
é um dia feio hoje.;eu sei. acho que pode chover.
eu sei. acho que pode chover.;estamos no meio do verão, não deve chover hoje.
estamos no meio do verão, não deve chover hoje.;isso seria estranho.
isso seria estranho.;sim, especialmente porque está noventa graus lá fora.
sim, especialmente porque está noventa graus lá fora.;eu sei, seria horrível se chovesse e estivesse quente lá fora.
eu sei, seria horrível se chovesse e estivesse quente lá fora.;sim, seria.
sim, seria.;eu realmente gostaria que não fosse tão quente todos os dias.
eu realmente gostaria que não fosse tão quente todos os dias.;eu também. mal posso esperar até o inverno.
